Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,
44,route de St Nazaire,CHâTEAUBRIANT,44110,1.94 €,,1.99 €,1.91 €,
44,Boulevard de Linz,PORNIC,44210,1.96 €,0.88 €,2.07 €,1.96 €,
44,BOULEVARD ALEXANDRE FLEMING,La Chapelle-sur-Erdre,44240,1.83 €,0.87 €,1.94 €,1.89 €,
44,28 Route de clisson,Vallet,44330,1.89 €,0.73 €,2.01 €,1.93 €,
44,173  route de Saint Joseph,Nantes,44300,1.82 €,,1.92 €,1.91 €,
44,BOULEVARD GUY MOLLET,NANTES,44000,1.83 €,,1.94 €,1.89 €,
44,95 rue du Perray,NANTES,44300,1.84 €,,1.96 €,1.91 €,
44,48 Boulevard de la Libération,Couëron,44220,1.86 €,,1.95 €,1.91 €,
44,BOULEVARD BRANLY,Savenay,44260,1.85 €,0.88 €,1.95 €,1.90 €,
44,6 Route de L'Isac,BLAIN,44130,1.83 €,0.70 €,1.94 €,1.89 €,
44,Boulevard de la Baule,SAINT-HERBLAIN,44800,1.83 €,,1.94 €,1.90 €,
44,RUE GAETAN RONDEAU,NANTES,44200,1.82 €,0.85 €,1.92 €,1.89 €,
44,RTE DE CHATEAUBRIANT,SAINT-MARS-LA-JAILLE,44540,,,1.99 €,1.93 €,
44,Route d'Ancenis,Vallet,44330,,,2.04 €,1.92 €,
44,4 LES LEVEES MIRAUD,LA CHAPELLE-DES-MARAIS,44410,1.86 €,,1.96 €,1.89 €,
44,Recouvrance,GéTIGNé,44190,1.94 €,0.87 €,2.05 €,2.00 €,
44,1 Avenue de la Vendée,Geneston,44140,1.82 €,0.88 €,1.92 €,1.92 €,
44,6  rue de Quarteron,VIEILLEVIGNE,44116,1.93 €,0.88 €,2.04 €,1.95 €,
44,80 Boulevard des Pas Enchantés,Saint-Sébastien-sur-Loire,44230,1.90 €,,2.03 €,1.91 €,
44, Boulevard Paul Langevin,COUERON,44220,1.91 €,,,1.98 €,
44,ROUTE DE SAINT AUBIN DES CHATEAUX,Châteaubriant,44110,1.95 €,,,1.91 €,
44,20 Rue de Nantes,SAUTRON,44880,,0.70 €,,1.93 €,
44,Le Point du Jour,SAINT-NAZAIRE,44600,1.80 €,0.69 €,1.90 €,1.89 €,
44,Route de Nantes-CS 20077,Pontchâteau,44160,1.83 €,,1.94 €,1.89 €,
44,1 rue de Bretagne - ZAC de la Pancarte,NORT-SUR-ERDRE,44390,1.86 €,0.88 €,1.99 €,1.90 €,
44,LA HIRTAIS,Sainte-Anne-sur-Brivet,44160,1.83 €,,1.94 €,1.90 €,
44,Avenue Guy Lafontaine,Saint-Brevin-les-Pins,44250,1.90 €,0.89 €,,1.97 €,
44,BD PASTEUR,LA CHAPELLE-BASSE-MER,44450,1.87 €,,1.95 €,1.91 €,
44,Avenue du Baulois,PORNICHET,44380,1.87 €,0.85 €,1.94 €,1.93 €,
44,Rue des 27 Otages,CHâTEAUBRIANT,44110,,,2.20 €,2.11 €,
44,75 Boulevard Joliot Curie,NANTES,44200,,,2.02 €,1.97 €,
44,Avenue de Nantes ZA le Haut Coin,Aigrefeuille-sur-Maine,44140,1.81 €,,1.95 €,1.88 €,
44,2 Rue Pierre Mendès France,Saint-Sébastien-sur-Loire,44230,1.88 €,,2.13 €,1.91 €,
44,Rue de Rennes,TREILLIèRES,44119,1.80 €,0.69 €,1.94 €,1.90 €,
44,C.C. DE LA BERNUAIS,MONTOIR-DE-BRETAGNE,44550,1.84 €,,1.94 €,1.91 €,
44,Rue de la Frégate,LA TURBALLE,44420,1.94 €,,2.05 €,2.00 €,
44,RUE DE LA MALNOUE,Thouaré-sur-Loire,44470,1.84 €,,1.95 €,1.93 €,
44,ROCADE SUD,BOUGUENAIS,44340,1.83 €,,1.94 €,1.89 €,
44,14 avenue Xavier Rineau - Le Barillet,GETIGNE,44190,1.86 €,,2.01 €,1.93 €,
44,10 Rue de Châteaubriant,Guémené-Penfao,44290,1.99 €,,2.10 €,2.01 €,
44,Chemin de la Culee,BOURGNEUF-EN-RETZ,44580,,,2.05 €,1.94 €,
01,148 AVENUE DE LYON,Péronnas,01960,1.90 €,0.85 €,2.00 €,2.00 €,
01, Avenue des Tilleuls,GEX,01170,2.05 €,,2.15 €,2.03 €,
